traj,X,Y,Z
1,64.7013,62.7688,127.489
1,62.846,66.8283,126.7105
1,62.4249,60.0997,125.9054
1,64.1353,62.8757,126.3887
1,61.3871,57.8823,126.6985
1,63.1646,62.9242,127.356
1,60.1869,60.2996,126.6144
1,60.2993,58.36,125.6718
1,66.7721,65.602,125.5776
1,65.3015,61.9923,125.284
1,67.4033,65.7004,125.2792
1,64.2276,62.741,124.8504
1,67.2717,68.0169,125.4393
1,65.145,62.5505,124.4793
1,73.1252,64.7891,123.7274
1,65.511,62.2376,122.6714
1,65.5942,62.5134,123.5523
1,66.1966,65.4477,123.4483
1,64.0368,62.6619,123.7594
1,63.6403,62.5114,123.0212
1,63.9013,61.9036,123.3681
1,64.4683,61.9346,123.3695
1,64.3053,61.5599,122.615
1,63.6867,61.8486,122.9697
1,64.193,58.5686,122.9976
1,59.6132,56.3677,122.4592
1,66.3219,60.2688,122.1551
1,65.1654,61.7564,122.7664
1,65.072,62.0248,121.9501
1,65.5702,62.1371,121.2517
1,67.5874,59.2678,120.9691
1,65.016,61.302,120.5977
1,65.3338,61.3229,119.6068
1,65.8266,61.5482,119.1429
1,65.1542,60.7821,119.8371
1,65.5359,61.4046,120.2597
1,65.2449,61.8532,120.8481
1,65.1839,61.4966,119.7141
1,70.6642,63.2256,119.9256
1,64.5142,63.9574,119.428
1,64.6351,62.6965,119.5424
1,65.0508,62.4383,120.0825
1,65.789,62.2732,119.2306
1,65.1502,62.3417,119.2111
1,64.7572,62.8092,119.296
1,64.8514,62.8173,120.5059
1,64.713,62.435,119.3751
1,64.6068,62.3832,118.5631
1,64.5081,62.6954,117.9241
1,64.4692,62.3265,117.1023
1,64.3806,62.9675,117.4009
2,64.8345,62.7247,126.7335
2,60.6471,68.4078,126.2782
2,62.6038,58.0125,126.3729
2,68.3407,66.165,125.9485
2,58.0263,64.7906,126.6854
2,68.8786,60.8543,126.3477
2,58.5139,60.4567,127.0071
2,65.5107,54.9268,126.28
2,67.2347,62.5531,126.7396
2,67.1122,59.5578,125.9281
2,68.0657,63.5262,125.0914
2,69.922,71.1425,124.7739
2,70.581,65.9242,125.367
2,62.165,62.9107,124.8938
2,70.4655,61.819,125.3791
2,63.3247,58.6093,126.013
2,65.2174,62.4339,125.9909
2,64.4848,66.6844,126.7865
2,68.5578,56.2643,126.526
2,58.752,62.296,126.486
2,60.7611,62.904,125.425
2,60.4442,52.891,125.3125
2,69.6993,58.475,125.1007
2,59.5691,58.388,125.2252
2,61.5196,60.9001,126.0772
2,68.1359,60.8805,125.2932
2,65.8787,59.4328,126.2184
2,65.9432,68.718,126.8523
2,61.8729,58.0039,127.0774
2,60.7639,59.2664,126.0962
2,65.0173,61.7188,126.0022
2,69.8566,64.0899,126.9457
2,63.7001,63.2162,126.1099
2,64.7007,61.8519,125.5421
2,68.0676,62.0132,126.4444
2,62.2685,57.2282,127.2871
2,66.9797,59.0324,126.3694
2,64.735,59.2363,125.4774
2,60.522,62.4732,126.308
2,66.3292,65.5736,125.6288
2,64.4982,62.4324,124.6804
2,64.8878,60.5878,125.1494
2,61.9103,52.4767,125.0399
2,63.8575,61.6968,125.4953
2,54.5003,63.5945,125.7376
2,64.8042,64.0034,125.393
2,64.8347,62.1692,125.6832
2,63.3716,63.0884,125.7674
2,60.8837,67.3072,125.1047
2,58.683,60.6945,125.7836
2,64.2834,68.8871,125.5868
3,64.6481,62.8552,126.694
3,71.4781,65.9071,126.0529
3,60.3837,67.1344,126.383
3,69.1719,67.4102,125.6576
3,61.9924,65.1626,125.06
3,64.5634,62.2004,125.0019
3,69.3132,57.816,125.9221
3,69.1786,64.4349,125.1788
3,59.3722,66.2892,125.1881
3,63.8459,62.1873,125.2613
3,60.8086,57.261,124.3999
3,57.9793,58.8411,125.4496
3,60.6612,65.1419,125.9959
3,70.4589,61.4354,125.9112
3,65.8031,64.888,126.5257
3,57.1051,60.2824,126.2012
3,62.8447,66.2738,125.4075
3,67.7451,58.5879,125.105
3,64.2856,56.312,126.1184
3,62.1287,64.5436,126.4866
3,63.7765,57.6233,125.8263
3,63.3098,62.3211,125.2872
3,64.7043,62.7852,125.6087
3,62.9963,67.7391,126.5869
3,66.2724,58.63,126.0985
3,67.1081,69.0524,126.5803
