traj,encoder1,encoder2,encoder3,X,Y,Z,angle1,angle2,angle3
0,24.8722,24.8818,24.9082,64.7013,62.7688,127.489,25.2788,25.2788,25.2788
0,23.2022,38.8564,23.7656,62.846,66.8283,126.7105,-1.9979,14.1148,-1.6002
0,28.5636,29.4521,40.6406,62.4249,60.0997,125.9054,5.7024,-9.8083,17.1727
0,29.4425,31.6494,31.2363,64.1353,62.8757,126.3887,0.9783,2.6129,-9.9744
0,22.7628,20.8388,41.4316,61.3871,57.8823,126.6985,-7.179,-11.1877,10.7363
0,21.9718,27.2549,27.1934,63.1646,62.9242,127.356,-0.8545,7.0844,-14.6676
0,19.7745,27.6943,39.5859,60.1869,60.2996,126.6144,-2.7203,0.3479,12.7596
0,24.7843,27.6943,46.8809,60.2993,58.36,125.6718,5.57,0.1398,7.3856
0,38.3194,38.9443,26.4023,66.7721,65.602,125.5776,13.9688,11.606,-21.0438
0,37.7042,34.4619,36.9492,65.3015,61.9923,125.284,-0.9396,-4.7766,10.8066
0,41.044,40.3506,26.7539,67.4033,65.7004,125.2792,3.6844,6.1989,-10.5351
0,37.7921,39.6474,39.1465,64.2276,62.741,124.8504,-3.6239,-1.2456,12.6672
0,39.1104,43.6904,21.7441,67.2717,68.0169,125.4393,1.6247,4.4067,-17.987
0,41.5714,40.4384,40.377,65.145,62.5505,124.4793,2.7323,-3.7756,19.0468
0,59.0616,39.3838,27.0176,73.1252,64.7891,123.7274,17.8648,-1.6581,-13.6149
0,51.1515,48.9638,49.4297,65.511,62.2376,122.6714,-8.1585,10.051,22.7548
0,47.1085,45.0966,44.5957,65.5942,62.5134,123.5523,-4.4293,-4.246,-5.0025
0,47.8116,50.6338,38.7949,66.1966,65.4477,123.4483,1.0668,5.7924,-6.2851
0,42.9776,45.624,45.2988,64.0368,62.6619,123.7594,-5.3333,-5.4812,6.8787
0,45.7022,49.1396,49.6934,63.6403,62.5114,123.0212,3.1279,3.9241,4.7199
0,44.8233,46.1513,48.6387,63.9013,61.9036,123.3681,-1.123,-3.4133,-1.1234
0,46.0538,45.7119,47.7598,64.4683,61.9346,123.3695,1.6125,-0.6908,-1.0537
0,49.3936,48.9638,52.418,64.3053,61.5599,122.615,3.8769,3.73,4.922
0,46.3175,48.7002,51.1875,63.6867,61.8486,122.9697,-3.2642,-0.6855,-1.3666
0,47.9874,40.3506,55.3184,64.193,58.5686,122.9976,2.0444,-8.8247,4.4884
0,40.6925,41.4931,66.3047,59.6132,56.3677,122.4592,-7.6073,1.4287,11.0725
0,56.2491,46.5908,54.3516,66.3219,60.2688,122.1551,16.0283,5.529,-12.4254
0,50.2726,48.0849,50.748,65.1654,61.7564,122.7664,-6.3768,1.8548,-3.9673
0,53.964,52.7431,54.0879,65.072,62.0248,121.9501,3.7098,4.9345,3.8874
0,58.0948,55.9951,56.4609,65.5702,62.1371,121.2517,4.4648,3.4359,2.6607
0,64.3351,49.9306,60.2402,67.5874,59.2678,120.9691,6.727,-6.3718,3.9352
0,60.4679,58.3681,61.9102,65.016,61.302,120.5977,-3.7415,8.786,2.2681
0,64.7745,62.4111,65.4258,65.3338,61.3229,119.6068,4.7391,4.1175,3.7147
0,67.8507,64.872,66.6563,65.8266,61.5482,119.1429,3.5557,2.7974,1.3149
0,65.4776,62.4111,67.2715,65.1542,60.7821,119.8371,-2.8078,-2.9394,-0.748
0,63.8956,60.6533,63.5801,65.5359,61.4046,120.2597,-1.4652,-2.2188,-3.771
0,60.1163,58.8076,60.5039,65.2449,61.8532,120.8481,-3.9311,-2.0744,-3.5464
0,64.6866,62.8506,64.8106,65.1839,61.4966,119.7141,4.4661,4.2086,4.6933
0,73.6515,60.7412,54.791,70.6642,63.2256,119.9256,9.4427,-1.58,-10.4753
0,63.8077,69.6181,63.7559,64.5142,63.9574,119.428,-10.2305,9.2107,9.4365
0,65.4776,68.4756,66.3926,64.6351,62.6965,119.5424,0.239,-1.3433,2.2868
0,63.9835,64.9599,63.7559,65.0508,62.4383,120.0825,-1.7384,-3.847,-3.076
0,67.3233,66.1025,65.25,65.789,62.2732,119.2306,3.7779,1.6328,1.9093
0,66.0929,66.7177,66.1289,65.1502,62.3417,119.2111,-1.3893,0.8748,1.1686
0,65.1261,67.8603,65.8652,64.7572,62.8092,119.296,-1.4553,1.2635,-0.6534
0,61.2589,63.4658,61.1191,64.8514,62.8173,120.5059,-4.0184,-4.5284,-4.6052
0,64.5987,66.542,65.7773,64.713,62.435,119.3751,3.7209,3.3462,4.7302
0,68.0265,70.5849,69.9082,64.6068,62.3832,118.5631,3.9132,4.5191,4.4859
0,71.0147,74.6279,72.6328,64.5081,62.6954,117.9241,3.3958,4.4785,3.0698
0,74.0909,77.1767,76.8516,64.4692,62.3265,117.1023,3.4761,2.9839,4.4955
0,72.8604,77.1767,74.7422,64.3806,62.9675,117.4009,-1.4588,0.029,-2.5972
1,25.5937,25.7792,25.5603,64.8345,62.7247,126.7335,26.3198,26.3198,26.3198
1,15.4863,42.4784,22.8357,60.6471,68.4078,126.2782,-10.4641,17.2575,-3.2841
1,22.5176,18.5721,38.3045,62.6038,58.0125,126.3729,7.4699,-24.3924,15.7129
1,34.8223,33.3378,18.0018,68.3407,66.165,125.9485,12.7685,15.1107,-20.5733
1,8.2793,35.4471,30.658,58.0263,64.7906,126.6854,-26.9183,2.44,12.9155
1,36.2285,19.0995,25.3846,68.8786,60.8543,126.3477,28.3841,-16.7314,-5.8385
1,8.8945,24.285,36.1072,58.5139,60.4567,127.0071,-27.8083,5.5519,11.1161
1,29.6367,8.5526,39.0076,65.5107,54.9268,126.28,21.0956,-16.2309,3.0444
1,29.9004,22.9667,22.1326,67.2347,62.5531,126.7396,-0.4656,14.9453,-17.2618
1,34.9102,20.5936,32.4158,67.1122,59.5578,125.9281,5.2434,-2.6729,10.5655
1,39.832,33.5135,27.9334,68.0657,63.5262,125.0914,5.4406,13.2688,-4.8552
1,40.7109,45.9061,10.5311,69.922,71.1425,124.7739,0.9631,12.9964,-17.9728
1,42.2051,33.0741,17.3865,70.581,65.9242,125.367,1.9943,-13.3231,7.2936
1,28.4062,38.3475,38.3924,62.165,62.9107,124.8938,-14.1419,5.7128,21.4212
1,43.5234,24.9003,25.7361,70.4655,61.819,125.3791,15.3822,-13.8792,-13.1742
1,26.4727,21.8241,38.7439,63.3247,58.6093,126.013,-17.3934,-3.6213,13.4216
1,29.6367,29.0311,29.5154,65.2174,62.4339,125.9909,3.657,7.5374,-9.4712
1,22.6934,33.953,18.5291,64.4848,66.6844,126.7865,-7.3976,5.2121,-11.4514
1,34.7344,7.2343,31.6248,68.5578,56.2643,126.526,12.4626,-27.2083,13.4903
1,12.3223,31.1405,35.4041,58.752,62.296,126.486,-22.8397,24.2765,4.2196
1,22.4297,36.326,37.074,60.7611,62.904,125.425,10.5855,5.5399,1.7898
1,22.7812,12.5956,52.1033,60.4442,52.891,125.3125,0.5227,-24.2157,15.296
1,44.0508,19.1874,33.9978,69.6993,58.475,125.1007,21.533,7.0772,-18.7732
1,21.9902,28.5038,47.0936,59.5691,58.388,125.2252,-22.3266,9.7737,13.494
1,21.6387,28.1522,36.8103,61.5196,60.9001,126.0772,0.5101,0.3688,-10.6001
1,39.9199,25.7792,31.5369,68.1359,60.8805,125.2932,18.6643,-2.7509,-5.7169
1,31.043,19.8026,32.9432,65.8787,59.4328,126.2184,-9.2698,-6.4636,2.1649
1,24.2754,35.0077,10.8826,65.9432,68.718,126.8523,-7.0755,15.6175,-22.5052
1,17.5078,15.5839,35.7557,61.8729,58.0039,127.0774,-7.0652,-19.7265,25.5455
1,19.4414,24.285,39.7107,60.7639,59.2664,126.0962,2.3706,9.1055,4.1652
1,29.1094,26.9218,30.658,65.0173,61.7188,126.0022,10.0885,3.1948,-9.5922
1,33.8555,21.6483,13.3436,69.8566,64.0899,126.9457,5.0859,-5.7392,-17.8053
1,25.7695,31.2284,29.6033,63.7001,63.2162,126.1099,-8.4599,9.8906,16.7624
1,30.8672,29.8221,33.2068,64.7007,61.8519,125.5421,5.6163,-1.8803,3.8779
1,33.416,21.912,23.451,68.0676,62.0132,126.4444,3.196,-8.2555,-10.3253
1,17.4199,12.1561,35.2283,62.2685,57.2282,127.2871,-16.2012,-10.3184,12.4108
1,32.3613,16.8143,30.8338,66.9797,59.0324,126.3694,15.4333,4.9847,-5.0349
1,32.4492,24.6366,38.6561,64.735,59.2363,125.4774,-0.0837,8.2986,8.1819
1,17.7715,31.2284,33.91,60.522,62.4732,126.308,-15.1937,6.9118,-4.7909
1,33.1523,36.0624,23.7146,66.3292,65.5736,125.6288,15.9305,5.2325,-10.4659
1,34.8223,36.5018,37.2498,64.4982,62.4324,124.6804,2.1381,0.3519,13.9929
1,34.1191,29.4706,37.7771,64.8878,60.5878,125.1494,-1.1611,-7.416,1.0334
1,28.6699,12.8593,53.2459,61.9103,52.4767,125.0399,-5.6122,-17.111,15.9247
1,29.7246,31.3163,35.0525,63.8575,61.6968,125.4953,1.2765,18.8794,-18.6722
1,2.127,39.7538,40.6775,54.5003,63.5945,125.7376,-28.1456,8.8597,6.0959
1,31.7461,35.7108,30.2186,64.8042,64.0034,125.393,30.0814,-4.3712,-10.9772
1,30.7793,30.0858,32.4158,64.8347,62.1692,125.6832,-1.3674,-6.1166,2.4528
1,26.4727,33.2499,32.1521,63.3716,63.0884,125.7674,-5.0083,3.4142,0.4508
1,22.8691,46.4335,30.4822,60.8837,67.3072,125.1047,-4.1819,13.4771,-2.1654
1,16.541,31.2284,41.9959,58.683,60.6945,125.7836,-6.8381,-15.5801,11.9795
1,27.7031,44.1483,20.6385,64.2834,68.8871,125.5868,11.6,13.4113,-21.5854
2,26.9147,26.8286,26.8374,64.6481,62.8552,126.694,27.3551,27.3551,27.3551
2,41.7682,28.5864,12.7749,71.4781,65.9071,126.0529,15.3472,1.8825,-14.5678
2,16.8073,40.0122,25.6069,60.3837,67.1344,126.383,-25.304,11.7536,13.2379
2,38.6921,36.4087,16.0269,69.1719,67.4102,125.6576,22.4368,-3.9677,-10.0751
2,28.7604,42.6489,34.4839,61.9924,65.1626,125.06,-10.5057,6.5403,18.8961
2,35.2643,34.6508,36.8569,64.5634,62.2004,125.0019,7.0267,-8.3406,2.4689
2,40.8015,14.2602,32.1987,69.3132,57.816,125.9221,6.0948,-20.798,-5.1776
2,42.9987,33.8598,24.5522,69.1786,64.4349,125.1788,2.6465,20.0211,-7.9201
2,21.2018,45.6372,34.6597,59.3722,66.2892,125.1881,-22.3041,12.3285,10.1818
2,32.1882,33.8598,36.4175,63.8459,62.1873,125.2613,11.3599,-12.298,1.9278
2,30.4304,29.6411,51.6226,60.8086,57.261,124.3999,-1.9755,-4.6083,15.3047
2,18.653,29.9926,47.6675,57.9793,58.8411,125.4496,-11.9492,0.5381,-4.2766
2,20.3229,38.518,30.8804,60.6612,65.1419,125.9959,2.0309,8.7422,-17.2453
2,42.735,21.2036,24.2007,70.4589,61.4354,125.9112,22.8669,-17.7418,-7.1615
2,28.8483,30.8716,21.7397,65.8031,64.888,126.5257,-14.2776,9.9577,-2.6082
2,11.3581,29.4653,42.3062,57.1051,60.2824,126.2012,-17.7238,-2.0331,21.1433
2,27.7936,41.77,29.0347,62.8447,66.2738,125.4075,16.4982,12.5678,-13.7178
2,41.6804,22.2583,37.3843,67.7451,58.5879,125.105,14.4542,-19.9002,8.5897
2,30.1667,15.0512,40.812,64.2856,56.312,126.1184,-11.9675,-7.632,3.9885
2,21.3776,33.5083,27.8921,62.1287,64.5436,126.4866,-9.2265,18.9228,-13.4018
2,30.1667,20.3247,40.812,63.7765,57.6233,125.8263,8.9953,-13.7349,13.0364
2,30.9577,34.7387,36.5933,63.3098,62.3211,125.2872,0.9823,14.9764,-4.6871
2,32.1882,32.5415,32.1987,64.7043,62.7852,125.6087,1.5821,-2.4835,-4.6356
2,21.2897,38.3423,19.9819,62.9963,67.7391,126.5869,-11.384,6.2913,-12.6389
2,34.1218,18.6548,34.7476,66.2724,58.63,126.0985,13.3241,-20.1495,14.9709
2,29.4636,36.5844,10.9292,67.1081,69.0524,126.5803,-5.1569,18.4473,-24.3213
2,12.3249,29.729,38.6147,58.0752,61.2733,126.4099,-17.6242,-7.4547,28.1667
2,24.7175,42.1216,26.0464,62.4408,67.277,125.7468,12.8759,12.8525,-12.8707
2,23.3991,26.2133,47.3159,59.9134,57.7812,125.3643,-1.7605,-16.3341,21.7083
